id,title,author,avg_rating,ratings,url,img,pages,year
1,The Complete Essays,Michel de Montaigne,4.22,"10,073",/book/show/30735.The_Complete_Essays,https://d2arxad8u2l0g7.cloudfront.net/books/1408384184l/30735.jpg,1344,1580
2,Confessions,Augustine of Hippo,3.87,"30,243",/book/show/27037.Confessions,https://d2arxad8u2l0g7.cloudfront.net/books/1266454051l/27037.jpg,311,398
3,The Interpretation of Dreams,Sigmund Freud,3.79,"38,887",/book/show/93981.The_Interpretation_of_Dreams,https://d2arxad8u2l0g7.cloudfront.net/books/1171268617l/93981.jpg,630,1899
4,Prince Charming,Julie Garwood,4.04,"10,069",/book/show/107777.Prince_Charming,https://d2arxad8u2l0g7.cloudfront.net/books/1347451527l/107777.jpg,533,1532
5,The Origin of Species,Charles Darwin,3.96,"64,179",/book/show/22463.The_Origin_of_Species,https://d2arxad8u2l0g7.cloudfront.net/books/1298417570l/22463.jpg,703,1859
6,Walden,Henry David Thoreau,3.79,"108,993",/book/show/16902.Walden,https://d2arxad8u2l0g7.cloudfront.net/books/1465675526l/16902.jpg,352,1854
7,Pensées,Blaise Pascal,3.96,"7,947",/book/show/449407.Pens_es,https://d2arxad8u2l0g7.cloudfront.net/books/1393735440l/449407.jpg,368,1670
8,The Republic,Plato,3.88,"107,607",/book/show/30289.The_Republic,https://d2arxad8u2l0g7.cloudfront.net/books/1386925655l/30289.jpg,416,-380
9,"The Complete Works of Plato, Vol 1",Plato,3.80,5,/book/show/8026029-the-complete-works-of-plato-vol-1,https://d2arxad8u2l0g7.cloudfront.net/books/1348315073l/8026029.jpg,662,-347
10,The Diary of a Young Girl,Anne Frank,4.09,"1,838,334",/book/show/48855.The_Diary_of_a_Young_Girl,https://d2arxad8u2l0g7.cloudfront.net/books/1358276407l/48855.jpg,283,1944
11,Anti-Communist Manifesto,Jiri Klobouk,3.67,3,/book/show/25632627-anti-communist-manifesto,,109,1848
12,The Confessions of Jean Jacques Rousseau 3,Jean-Jacques Rousseau,3.86,43,/book/show/342561.The_Confessions_of_Jean_Jacques_Rousseau_3,https://d2arxad8u2l0g7.cloudfront.net/books/1173899179l/342561.jpg,,1782
13,"The History of Herodotus, V1",Herodotus,4.16,273,/book/show/11085879-the-history-of-herodotus-v1,https://d2arxad8u2l0g7.cloudfront.net/books/1328328459l/11085879.jpg,380,-420
14,Silent Spring,Rachel Carson,3.93,"22,930",/book/show/27333.Silent_Spring,https://d2arxad8u2l0g7.cloudfront.net/books/1442353674l/27333.jpg,378,1962
15,Das Kapital,Karl Marx,3.82,"5,046",/book/show/238953.Das_Kapital,https://d2arxad8u2l0g7.cloudfront.net/books/1388289025l/238953.jpg,356,1867
16,The Antichrist/Thus Spake Zarathustra,Friedrich Nietzsche,3.96,285,/book/show/6700688-the-antichrist-thus-spake-zarathustra,https://d2arxad8u2l0g7.cloudfront.net/books/1328339175l/6700688.jpg,,1883
17,Democracy in America,Alexis de Tocqueville,3.97,"15,768",/book/show/16619.Democracy_in_America,https://d2arxad8u2l0g7.cloudfront.net/books/1388206188l/16619.jpg,992,1840
18,The Elements of Programming Style,Brian W. Kernighan,4.10,163,/book/show/454039.The_Elements_of_Programming_Style,https://d2arxad8u2l0g7.cloudfront.net/books/1387733024l/454039.jpg,168,1918
19,Relativity: The Special and the General Theory,Albert Einstein,4.16,"11,790",/book/show/15852.Relativity,https://d2arxad8u2l0g7.cloudfront.net/books/1420607613l/15852.jpg,130,1917
20,Homage to Catalonia,George Orwell,4.14,"22,050",/book/show/9646.Homage_to_Catalonia,https://d2arxad8u2l0g7.cloudfront.net/books/1394868278l/9646.jpg,232,1938
21,"Speak, Memory",Vladimir Nabokov,4.18,"8,517",/book/show/30594.Speak_Memory,https://d2arxad8u2l0g7.cloudfront.net/books/1346107008l/30594.jpg,255,1940
22,"One Day, When I Was Lost: A Scenario Based On The \""Autobiography Of Malcolm X\""",James Baldwin,4.14,113,/book/show/2798891-one-day-when-i-was-lost,,,1965
23,"The General Theory of Employment, Interest, and Money",John Maynard Keynes,3.80,"3,300",/book/show/303615.The_General_Theory_of_Employment_Interest_and_Money,https://d2arxad8u2l0g7.cloudfront.net/books/1415594896l/303615.jpg,403,1936
24,Fear & Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream/Generation of Swine: Tales of Shame & Degradation in the '80s,Hunter S. Thompson,really liked it 4.00,26,/book/show/8266518-fear-loathing-in-las-vegas,https://d2arxad8u2l0g7.cloudfront.net/books/1274473225l/8266518.jpg,313,
25,The Second Sex,Simone de Beauvoir,4.07,"18,821",/book/show/457264.The_Second_Sex,https://d2arxad8u2l0g7.cloudfront.net/books/1327978178l/457264.jpg,746,1949
26,Leviathan,Thomas Hobbes,3.65,"25,765",/book/show/91953.Leviathan,https://d2arxad8u2l0g7.cloudfront.net/books/1326788684l/91953.jpg,736,1651
27,History of the Peloponnesian War,Thucydides,3.85,"23,028",/book/show/261243.History_of_the_Peloponnesian_War,https://d2arxad8u2l0g7.cloudfront.net/books/1422072332l/261243.jpg,648,-450
28,Meditations,Marcus Aurelius,4.18,"43,436",/book/show/30659.Meditations,https://d2arxad8u2l0g7.cloudfront.net/books/1421618636l/30659.jpg,304,167
29,Architectural Technology Up to the Scientific Revolution: The Art and Structure of Large-Scale Buildings,Robert Mark,4.67,3,/book/show/496709.Architectural_Technology_Up_to_the_Scientific_Revolution,https://d2arxad8u2l0g7.cloudfront.net/books/1218060396l/496709.jpg,280,1962
30,Lao-Tzu and the Tao-Te-Ching,Livia Kohn,4.24,33,/book/show/147337.Lao_Tzu_and_the_Tao_Te_Ching,https://d2arxad8u2l0g7.cloudfront.net/books/1348438137l/147337.jpg,344,-300
31,A Room of One's Own,Virginia Woolf,4.07,"61,430",/book/show/18521.A_Room_of_One_s_Own,https://d2arxad8u2l0g7.cloudfront.net/books/1327883012l/18521.jpg,112,1929
32,Philosophiae Naturalis Principia Mathematica (1822),Isaaco Newtono,0.00,0,/book/show/25855951-philosophiae-naturalis-principia-mathematica,https://d2arxad8u2l0g7.cloudfront.net/books/1436132572l/25855951.jpg,212,1687
33,The Double Helix,James D. Watson,3.87,"11,684",/book/show/126061.The_Double_Helix,https://d2arxad8u2l0g7.cloudfront.net/books/1384152213l/126061.jpg,143,1968
34,"The Summer Palace (The Annals of the Chosen, #3)",Lawrence Watt-Evans,3.64,262,/book/show/2429360.The_Summer_Palace,https://d2arxad8u2l0g7.cloudfront.net/books/1312069088l/2429360.jpg,320,120
35,The Wealth of Nations,Adam Smith,3.85,"18,072",/book/show/25698.The_Wealth_of_Nations,https://d2arxad8u2l0g7.cloudfront.net/books/1348433328l/25698.jpg,1264,1776
36,"Summa Theologica, 5 Vols",Thomas Aquinas,4.08,"2,502",/book/show/25709.Summa_Theologica_5_Vols,https://d2arxad8u2l0g7.cloudfront.net/books/1356056552l/25709.jpg,3020,1274
37,The Analects,Confucius,3.82,"11,828",/book/show/27297.The_Analects,https://d2arxad8u2l0g7.cloudfront.net/books/1309201523l/27297.jpg,256,-350
38,The Life of Samuel Johnson,James Boswell,3.90,"2,454",/book/show/688826.The_Life_of_Samuel_Johnson,https://d2arxad8u2l0g7.cloudfront.net/books/1403167452l/688826.jpg,1344,1823
39,The Essential Writings of Ralph Waldo Emerson,Ralph Waldo Emerson,4.36,"2,787",/book/show/716872.The_Essential_Writings_of_Ralph_Waldo_Emerson,https://d2arxad8u2l0g7.cloudfront.net/books/1320405541l/716872.jpg,880,1882
40,Parallel Lives,Plutarch,4.08,987,/book/show/3679100-parallel-lives,https://d2arxad8u2l0g7.cloudfront.net/books/1365654635l/3679100.jpg,1309,120
41,The Decline and Fall of the Roman Empire,Edward Gibbon,3.95,"8,463",/book/show/19400.The_Decline_and_Fall_of_the_Roman_Empire,https://d2arxad8u2l0g7.cloudfront.net/books/1435759367l/19400.jpg,1312,1776
42,In Cold Blood,Truman Capote,4.04,"379,340",/book/show/168642.In_Cold_Blood,https://d2arxad8u2l0g7.cloudfront.net/books/1424931136l/168642.jpg,343,1966
43,The Education of Henry Adams,Henry Adams,3.70,"2,241",/book/show/82896.The_Education_of_Henry_Adams,https://d2arxad8u2l0g7.cloudfront.net/books/1315117472l/82896.jpg,320,1918
44,The Art of War in the Western World,Archer Jones,3.91,102,/book/show/171737.The_Art_of_War_in_the_Western_World,https://d2arxad8u2l0g7.cloudfront.net/books/1349052463l/171737.jpg,768,-200
45,Dialogue Concerning the Two Chief World Systems,Galileo Galilei,4.08,722,/book/show/68218.Dialogue_Concerning_the_Two_Chief_World_Systems,https://d2arxad8u2l0g7.cloudfront.net/books/1386921578l/68218.jpg,640,1632
46,The Civil War: A Narrative,Shelby Foote,4.55,"5,445",/book/show/44234.The_Civil_War,https://d2arxad8u2l0g7.cloudfront.net/books/1313254390l/44234.jpg,2934,1974
47,Absolute War: Soviet Russia in the Second World War,Christopher Bellamy,4.06,346,/book/show/550529.Absolute_War,https://d2arxad8u2l0g7.cloudfront.net/books/1266583199l/550529.jpg,768,1953
48,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Brian K. Vaughan,4.12,"74,825",/book/show/156534.Y,https://d2arxad8u2l0g7.cloudfront.net/books/1388178315l/156534.jpg,128,1947
