id,title,author,avg_rating,ratings,url,img,pages,year
478,The Sufi Masnavi: An Anthology,Paul Smith,0.00,0,/book/show/27484057-the-sufi-masnavi,https://d2arxad8u2l0g7.cloudfront.net/books/1446772940l/27484057.jpg,,1250
479,Collected Stories,Frank O'Connor,4.29,375,/book/show/396751.Collected_Stories,https://d2arxad8u2l0g7.cloudfront.net/books/1347353329l/396751.jpg,720,1965
480,Essays and Poems,Ralph Waldo Emerson,3.97,"10,966",/book/show/139004.Essays_and_Poems,https://d2arxad8u2l0g7.cloudfront.net/books/1388761686l/139004.jpg,560,2001
481,Bostan,Sheikh Saadi,0.00,0,/book/show/30316891-bostan,https://d2arxad8u2l0g7.cloudfront.net/books/1464582431l/30316891.jpg,224,1257
482,Poems by Walt Whitman,Walt Whitman,4.21,812,/book/show/13597099-poems-by-walt-whitman,https://d2arxad8u2l0g7.cloudfront.net/books/1385408374l/13597099.jpg,304,1892
483,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.14,"141,118",/book/show/16304.Murder_on_the_Orient_Express,https://d2arxad8u2l0g7.cloudfront.net/books/1388267702l/16304.jpg,322,1934
484,Season of Migration to the North by Tayeb Salih | Summary & Study Guide,BookRags,liked it 3.00,5,/book/show/9992735-season-of-migration-to-the-north-by-tayeb-salih-summary-study-guide,,34,1966
485,Twice-Told Tales,Nathaniel Hawthorne,3.91,"2,187",/book/show/47061.Twice_Told_Tales,https://d2arxad8u2l0g7.cloudfront.net/books/1403189952l/47061.jpg,432,1837
486,Robert Browning's Poetry,Robert Browning,3.97,"4,055",/book/show/271713.Robert_Browning_s_Poetry,https://d2arxad8u2l0g7.cloudfront.net/books/1386922329l/271713.jpg,689,1889
487,The Sound of the Mountain,Yasunari Kawabata,3.93,"3,193",/book/show/59950.The_Sound_of_the_Mountain,https://d2arxad8u2l0g7.cloudfront.net/books/1388447588l/59950.jpg,276,1970
488,"Novels by Naguib Mahfouz: Palace Walk, the Journey of Ibn Fattouma, the Beggar, Midaq Alley, the Thief and the Dogs, Children of Gebelawi",Naguib Mahfouz,4.46,67,/book/show/8333832-novels-by-naguib-mahfouz,https://d2arxad8u2l0g7.cloudfront.net/books/1348190795l/8333832.jpg,,1059
489,Watt,Samuel Beckett,3.99,"1,937",/book/show/104613.Watt,https://d2arxad8u2l0g7.cloudfront.net/books/1171520807l/104613.jpg,256,1953
490,Njal's Saga,Unknown Icelanders,0.00,0,/book/show/27617148-njal-s-saga,,180,1200
491,The Turn of the Screw,Henry James,3.46,"57,849",/book/show/12948.The_Turn_of_the_Screw,https://d2arxad8u2l0g7.cloudfront.net/books/1443203592l/12948.jpg,121,1898
492,Friedrich Holderlin Eduard Morike - Selected Poems,Friedrich Hölderlin,4.20,5,/book/show/1753168.Friedrich_Holderlin_Eduard_Morike_Selected_Poems,,318,1843
493,The Known World,Edward P. Jones,3.81,"27,485",/book/show/67.The_Known_World,https://d2arxad8u2l0g7.cloudfront.net/books/1388251511l/67.jpg,432,2003
494,A Quoi Rêvent Les Jeunes Filles: Suivi De La Nuit Vénitienne Et De Les Marrons Du Feu,Alfred de Musset,liked it 3.00,2,/book/show/9657343-a-quoi-r-vent-les-jeunes-filles,,125,1854
495,Sophie's Choice,William Styron,4.18,"66,663",/book/show/228560.Sophie_s_Choice,https://d2arxad8u2l0g7.cloudfront.net/books/1356714742l/228560.jpg,562,1979
496,The Last Chronicle of Barset (Chronicles of Barsetshire #6),Anthony Trollope,4.14,"3,656",/book/show/149789.The_Last_Chronicle_of_Barset,https://d2arxad8u2l0g7.cloudfront.net/books/1399393214l/149789.jpg,890,1867
497,The Once and Future King: Camelot,T. H. White,really liked it 4.00,9,/book/show/28650892-the-once-and-future-king,https://d2arxad8u2l0g7.cloudfront.net/books/1453343583l/28650892.jpg,,1958
498,Otherwise: Last and First Poems of Eugenio Montale,Eugenio Montale,3.60,5,/book/show/464933.Otherwise,https://d2arxad8u2l0g7.cloudfront.net/books/1458546187l/464933.jpg,159,1975
499,The Sheltering Sky,Paul Bowles,3.92,"18,112",/book/show/243598.The_Sheltering_Sky,https://d2arxad8u2l0g7.cloudfront.net/books/1347986956l/243598.jpg,342,1949
500,Dom Casmurro,Machado de Assis,4.22,"10,396",/book/show/82888.Dom_Casmurro,https://d2arxad8u2l0g7.cloudfront.net/books/1348286455l/82888.jpg,176,1899
501,The Day of the Locust,Nathanael West,3.79,"15,439",/book/show/113441.The_Day_of_the_Locust,https://d2arxad8u2l0g7.cloudfront.net/books/1387706380l/113441.jpg,208,1939
502,"Novels by Junichiro Tanizaki: Naomi, Some Prefer Nettles, the Makioka Sisters, Quicksand, the Key",Books LLC,3.85,26,/book/show/8840814-novels-by-junichiro-tanizaki,https://d2arxad8u2l0g7.cloudfront.net/books/1349049504l/8840814.jpg,28,1929
503,The Complete Writings of Alfred de Musset,Alfred de Musset,really liked it 4.00,3,/book/show/14370287-the-complete-writings-of-alfred-de-musset,https://d2arxad8u2l0g7.cloudfront.net/books/1349057339l/14370287.jpg,368,1857
504,Daphnis and Chloe,Longus,3.74,"1,578",/book/show/1016881.Daphnis_and_Chloe,https://d2arxad8u2l0g7.cloudfront.net/books/1387740579l/1016881.jpg,128,200
505,Snowy Tower: Parzival and the Wet Black Branch of Language,Martin Shaw,4.71,17,/book/show/18114496-snowy-tower,https://d2arxad8u2l0g7.cloudfront.net/books/1378802317l/18114496.jpg,272,1200
506,The Complete Poetry and Essential Prose of John Milton,John Milton,4.42,52,/book/show/13531366-the-complete-poetry-and-essential-prose-of-john-milton,https://d2arxad8u2l0g7.cloudfront.net/books/1378708443l/13531366.jpg,1408,1674
507,The Collected Works of Samuel Taylor Coleridge: Vol. 16. Poetical Works: Part 3. Plays.,Samuel Taylor Coleridge,really liked it 4.00,2,/book/show/1522454.The_Collected_Works_of_Samuel_Taylor_Coleridge,https://d2arxad8u2l0g7.cloudfront.net/books/1348929609l/1522454.jpg,1680,1834
508,The House of the Seven Gables,Nathaniel Hawthorne,3.44,"26,247",/book/show/90192.The_House_of_the_Seven_Gables,https://d2arxad8u2l0g7.cloudfront.net/books/1348244293l/90192.jpg,225,1851
509,Das Nibelungenlied,Jan-Dirk Müller,4.50,6,/book/show/6610173-das-nibelungenlied,,199,1200
510,"A Dance to the Music of Time: 1st Movement (A Dance to the Music of Time, #1-3)",Anthony Powell,3.94,"3,222",/book/show/16113.A_Dance_to_the_Music_of_Time,https://d2arxad8u2l0g7.cloudfront.net/books/1388441393l/16113.jpg,718,1951
511,The Secret History,Donna Tartt,4.06,"160,227",/book/show/29044.The_Secret_History,https://d2arxad8u2l0g7.cloudfront.net/books/1451554846l/29044.jpg,559,1992
512,The Selected Works,Cesare Pavese,4.06,83,/book/show/245433.The_Selected_Works,https://d2arxad8u2l0g7.cloudfront.net/books/1320554780l/245433.jpg,424,
513,A Death in the Family,James Agee,3.92,"10,785",/book/show/113091.A_Death_in_the_Family,https://d2arxad8u2l0g7.cloudfront.net/books/1327885315l/113091.jpg,320,1957
514,The Wings of the Dove,Henry James,3.80,"12,620",/book/show/124272.The_Wings_of_the_Dove,https://d2arxad8u2l0g7.cloudfront.net/books/1320514843l/124272.jpg,741,1902
515,Disgrace,Barbara Hulanicki,3.33,3,/book/show/11966026-disgrace,https://d2arxad8u2l0g7.cloudfront.net/books/1309976749l/11966026.jpg,279,1999
516,A Study Guide to Isaac Bashevis Singer's Gimpel the Fool,The Gale Group,it was amazing 5.00,,/book/show/31170822-a-study-guide-to-isaac-bashevis-singer-s-gimpel-the-fool,https://d2arxad8u2l0g7.cloudfront.net/books/1468921702l/31170822.jpg,20,1957
517,"Gilead (Gilead, #1)",Marilynne Robinson,3.83,"51,771",/book/show/68210.Gilead,https://d2arxad8u2l0g7.cloudfront.net/books/1451555787l/68210.jpg,247,2004
518,The Joy Luck Club,Amy Tan,3.89,"501,175",/book/show/7763.The_Joy_Luck_Club,https://d2arxad8u2l0g7.cloudfront.net/books/1304978653l/7763.jpg,288,1989
519,A Separate Peace,John Knowles,3.56,"153,575",/book/show/5148.A_Separate_Peace,https://d2arxad8u2l0g7.cloudfront.net/books/1439235282l/5148.jpg,204,1959
520,The Tale of Peter Rabbit,Beatrix Potter,4.16,"153,406",/book/show/19321.The_Tale_of_Peter_Rabbit,https://d2arxad8u2l0g7.cloudfront.net/books/1436603440l/19321.jpg,72,1902
521,Cyrano de Bergerac,Edmond Rostand,4.05,"54,762",/book/show/15638.Cyrano_de_Bergerac,https://d2arxad8u2l0g7.cloudfront.net/books/1386920459l/15638.jpg,240,1897
522,The Fall,Albert Camus,4.05,"44,753",/book/show/11991.The_Fall,https://d2arxad8u2l0g7.cloudfront.net/books/1467904855l/11991.jpg,147,1956
523,The Moon and the Bonfire,Cesare Pavese,3.78,"3,384",/book/show/132376.The_Moon_and_the_Bonfire,https://d2arxad8u2l0g7.cloudfront.net/books/1328830465l/132376.jpg,200,1949
524,We,Yevgeny Zamyatin,3.96,"41,919",/book/show/76171.We,https://d2arxad8u2l0g7.cloudfront.net/books/1421883730l/76171.jpg,225,1921
525,Wise Blood,Flannery O'Connor,3.89,"18,384",/book/show/48467.Wise_Blood,https://d2arxad8u2l0g7.cloudfront.net/books/1389629799l/48467.jpg,256,1952
526,"The Complete Poems, 1927-1979",Elizabeth Bishop,4.19,"9,331",/book/show/420278.The_Complete_Poems_1927_1979,https://d2arxad8u2l0g7.cloudfront.net/books/1436422208l/420278.jpg,272,1979
527,"The Collected Poems, Vol. 1: 1909-1939",William Carlos Williams,4.19,"5,481",/book/show/72155.The_Collected_Poems_Vol_1,https://d2arxad8u2l0g7.cloudfront.net/books/1412527910l/72155.jpg,465,1939
528,Cathedral,Raymond Carver,4.30,"18,622",/book/show/11449.Cathedral,https://d2arxad8u2l0g7.cloudfront.net/books/1421615759l/11449.jpg,230,1984
529,,,,,,,,1792
530,The Collected Stories,Eudora Welty,4.24,"6,345",/book/show/12577.The_Collected_Stories,https://d2arxad8u2l0g7.cloudfront.net/books/1433802019l/12577.jpg,622,1982
531,Les Tragiques,Agrippa d'Aubigné,3.15,34,/book/show/1452632.Les_Tragiques,https://d2arxad8u2l0g7.cloudfront.net/books/1405864556l/1452632.jpg,568,1616
532,Birds of America,Lorrie Moore,4.12,"10,853",/book/show/19631.Birds_of_America,https://d2arxad8u2l0g7.cloudfront.net/books/1388641896l/19631.jpg,291,1998
533,His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.24,"95,848",/book/show/18116.His_Dark_Materials,https://d2arxad8u2l0g7.cloudfront.net/books/1442329494l/18116.jpg,1088,1995
534,Poèmes antiques et modernes - Les Destinées,Alfred de Vigny,3.81,26,/book/show/2015586.Po_mes_antiques_et_modernes_Les_Destin_es,https://d2arxad8u2l0g7.cloudfront.net/books/1328306783l/2015586.jpg,320,1864
535,Love Medicine,Louise Erdrich,3.97,"15,596",/book/show/91440.Love_Medicine,https://d2arxad8u2l0g7.cloudfront.net/books/1442951349l/91440.jpg,367,1984
536,Betrayed by Rita Hayworth,Manuel Puig,3.67,452,/book/show/71761.Betrayed_by_Rita_Hayworth,https://d2arxad8u2l0g7.cloudfront.net/books/1255448514l/71761.jpg,,1968
537,The Hobbit An Unexpected Journey: Untold tale of The Hobbit,J.J. Tolken,4.63,131,/book/show/24213848-the-hobbit-an-unexpected-journey,https://d2arxad8u2l0g7.cloudfront.net/books/1419984557l/24213848.jpg,,1937
