id,title,author,avg_rating,ratings,url,img,pages,year
986,"Ovid, The Love Poems",Ovid,4.11,"1,690",/book/show/4378968-ovid-the-love-poems,https://d2arxad8u2l0g7.cloudfront.net/books/1266694212l/4378968.jpg,304,1997
987,"The Colonial Period of American History: The Settlements, Volume III",Charles McLean Andrews,liked it 3.00,,/book/show/913600.The_Colonial_Period_of_American_History,,376,1935
988,"O Strange New World: American Culture, the Formative Years",Howard Mumford Jones,3.58,12,/book/show/4011135-o-strange-new-world,https://d2arxad8u2l0g7.cloudfront.net/books/1275651854l/4011135.jpg,464,1964
989,Facts of Life,Maureen Howard,3.73,26,/book/show/1895341.Facts_of_Life,https://d2arxad8u2l0g7.cloudfront.net/books/1408511678l/1895341.jpg,192,1977
990,"Ile de La Reunion. Carnet de Voyage: Agenda de Voyage La Reunion. Pre-Imprime: Activites, Restaurant, Budget Jour. Journal de Bord Road Trip.",O M J,0.00,0,/book/show/27129981-ile-de-la-reunion-carnet-de-voyage,https://d2arxad8u2l0g7.cloudfront.net/books/1444884376l/27129981.jpg,72,1900
991,Hamilton Fish: The Inner History of the Grant Administration,Allan Nevins,really liked it 4.00,2,/book/show/2164356.Hamilton_Fish,,0,1937
992,Lamy of Santa Fe,Paul Horgan,3.97,38,/book/show/1605168.Lamy_of_Santa_Fe,https://d2arxad8u2l0g7.cloudfront.net/books/1387704218l/1605168.jpg,523,1975
993,Picasso and the Mysteries of Life: La Vie,William H. Robinson,4.40,5,/book/show/16231755-picasso-and-the-mysteries-of-life,https://d2arxad8u2l0g7.cloudfront.net/books/1374029484l/16231755.jpg,164,1991
994,The Beak of the Finch: A Story of Evolution in Our Time,Jonathan Weiner,4.15,"5,645",/book/show/125286.The_Beak_of_the_Finch,https://d2arxad8u2l0g7.cloudfront.net/books/1328236736l/125286.jpg,332,1994
995,Louise Bogan: A Portrait,Elizabeth Frank,really liked it 4.00,8,/book/show/1711880.Louise_Bogan,https://d2arxad8u2l0g7.cloudfront.net/books/1442335558l/1711880.jpg,460,1986
996,Imperial Reckoning: The Untold Story of Britain's Gulag in Kenya,Caroline Elkins,3.88,698,/book/show/197327.Imperial_Reckoning,https://d2arxad8u2l0g7.cloudfront.net/books/1438636901l/197327.jpg,496,2005
997,"American Education, The National Experience, 1783-1876",Lawrence A. Cremin,4.18,11,/book/show/892544.American_Education_The_National_Experience_1783_1876,https://d2arxad8u2l0g7.cloudfront.net/books/1418655710l/892544.jpg,,1981
998,Bad Land: An American Romance,Jonathan Raban,3.96,984,/book/show/497183.Bad_Land,https://d2arxad8u2l0g7.cloudfront.net/books/1340653860l/497183.jpg,384,1996
999,Paul Revere and the World He Lived In,Esther Forbes,4.19,196,/book/show/452657.Paul_Revere_and_the_World_He_Lived_In,https://d2arxad8u2l0g7.cloudfront.net/books/1404956151l/452657.jpg,536,1942
1000,Voyagers to the West: A Passage in the Peopling of America on the Eve of the Revolution,Bernard Bailyn,3.91,103,/book/show/901939.Voyagers_to_the_West,https://d2arxad8u2l0g7.cloudfront.net/books/1387668548l/901939.jpg,720,1987
1001,John Quincy Adams and the Foundations of American Foreign Policy,Samuel Flagg Bemis,4.23,22,/book/show/2361563.John_Quincy_Adams_and_the_Foundations_of_American_Foreign_Policy,https://d2arxad8u2l0g7.cloudfront.net/books/1366400535l/2361563.jpg,588,1949
1002,Benjamin Henry Latrobe,Talbot Faulkner Hamlin,4.50,2,/book/show/2267465.Benjamin_Henry_Latrobe,,633,1956
