id,title,author,year
986,Tales from Ovid,Ted Hughes,1997
987,The Colonial Period of American History,Charles McLean Andrews,1935
988,O Strange New World,Howard Mumford Jones,1964
989,Facts of Life,Maureen Howard,1977
990,The Road to Reunion,Paul Herman Buck,1900
991,Hamilton Fish,Allan Nevins,1937
992,Lamy of Santa Fe,Paul Horgan,1975
993,A Life of Picasso,John Richardson,1991
994,The Beak of the Finch: A Story of Evolution in Our Time,Jonathan Weiner,1994
995,Louise Bogan: A Portrait,Elizabeth Frank,1986
996,Imperial Reckoning,Caroline Elkins,2005
997,"American Education: The National Experience, 1783-1876",Lawrence A. Cremin,1981
998,Bad Land: An American Romance,Jonathan Raban,1996
999,Paul Revere and the World He Lived In,Esther Forbes,1942
1000,Voyagers to the West: A Passage in the Peopling of America on the Eve of the Revolution,Bernard Bailyn,1987
1001,John Quincy Adams and the Foundations of American Foreign Policy,Samuel Flagg Bemis,1949
1002,Benjamin Henry Latrobe,Talbot Faulkner Hamlin,1956
1003,Peter the Great: His Life and World,Robert K. Massie,1980
1004,The Fate of Liberty: Abraham Lincoln and Civil Liberties,"Mark E. Neely, Jr.",1991
1005,The Visible Hand,"Alfred D. Chandler, Jr.",1977
1006,Pedlar's Progress,Odell Shepard,1938
1007,Fortunate Son: The Autobiography of Lewis B. Puller Jr.,Lewis B. Puller,1991
1008,Eleanor and Franklin,Joseph P. Lash,1972
1009,With Americans of Past and Present Days,Jean Jules Jusserand,1916
1010,From Beirut to Jerusalem,Thomas L. Friedman,1995
1011,"Devil in the Grove: Thurgood Marshall, the Groveland Boys, and the Dawn of a New America",Gilbert King,2012
1012,The Life of John Marshall,Albert J. Beveridge,1919
1013,War Without Mercy,John W. Dower,1986
1014,Arab and Jew,David K. Shipler,1986
1015,Pulphead: Essays,John Jeremiah Sullivan,2011
1016,Luce and His Empire,W.A. Swanberg,1973
1017,Ashes to Ashes,Richard Kluger,1996
1018,Liberty's Exiles: American Loyalists in the Revolutionary World,Maya Jasanoff,2011
1019,Across the Wide Missouri,Bernard DeVoto,1947
1020,In Our Image: America's Empire in the Philippines,Stanley Karnow,1989
1021,Fargo Rock City,Chuck Klosterman,2001
1022,Johnathan Edward,Ola Elizabeth Winslow,1941
1023,The Growth of American Thought,Merle Curti,1943
1024,A Nation under Our Feet,Steven Hahn,2003
1025,Rousseau and Revolution,Will and Ariel Durant,1967
1026,A History of American Magazines,Frank Luther Mott,1939
1027,Days of Sorrow and Pain: Leo Baeck and the Berlin Jews,Leonard Baker,1978
1028,A Life's Work: On Becoming a Mother,Rachel Cusk,2001
1029,George Bancroft: Brahmin Rebel,Russel Blaine Nye,1945
1030,Machiavelli in Hell,Sebastian de Grazia,1989
1031,The Dragons of Eden,Carl Sagan,1977
1032,Puritan Village: The Formation of a New England Town,Sumner Chilton Powell,1963
1033,Earth: An Intimate History,Richard Fortey,2004
1034,Memoirs,George Frost Kennan,1968
1035,People of Paradox,Michael Kammen,1973
1036,Roosevelt: The Soldier Of Freedom,James MacGregor Burns,1970
1037,Jackson Pollock: An American Saga,Steven Naifeh and Gregory White Smith,1989
1038,Voices from Chernobyl,Svetlana Alexievich,2005
1039,Khrushchev: The Man and His Era,William Taubman,2003
1040,Edmund Pendleton 1721–1803,David J. Mays,1952
1041,Been in the Storm So Long,Leon F. Litwack,1979
1042,"Washington, Village and Capital, 1800-1878",Constance McLaughlin Green,1963
1043,The Lion and the Throne,Catherine Drinker Bowen,1957
1044,The Significance of Sections in American History,Frederick J. Turner,1933
1045,William Cooper's Town,Alan Taylor,1995
1046,Becoming a Man: Half a Life Story,Paul Monette,1992
1047,A Civil Action,Jonathan Harr,1996
1048,Sons of Mississippi,Paul Hendrickson,2002
1049,The Broken Cord,Michael Dorris,1988
1050,The Weather Makers,Tim Flannery,2005
1051,Devil In The White City,Erik Larson,2003
1052,The Heavens and the Earth,Walter A. McDougall,1986
1053,How We Die: Reflections on Life's Final Chapter,Sherwin B. Nuland,1994
1054,The Rape of Europa,Lynn Nicholas,1995
1055,The Founding of New England,James Truslow Adams,1921
1056,The Autobiography of William Allen White,William Allen White,1946
1057,The Flowering of New England,Van Wyck Brooks,1937
1058,A Prince of Our Disorder: The Life of T E. Lawrence, John E. Mack,1976
1059,The Dead Hand: The Untold Story of the Cold War Arms Race and Its Dangerous Legacy,David Hoffman,2009
1060,George Washington,Douglas Southall Freeman,1957
1061,Founding Brothers: The Revolutionary Generation,Joseph Ellis,2000
1062,"W.E.B. Dubois : Biography of a Race, 1868–1919",David Levering Lewis,1993
1063,The Man From New York: John Quinn and His Friends,Benjamin Lawrence Reid,1969
1064,Newjack: Guarding Sing Sing,Ted Conover,2001
1065,Change We Can Believe In,Barack Obama,2008
1066,The Atlantic Migration,Marcus Lee Hansen,1860
1067,Hirohito and the Making of Modern Japan,Herbert P. Bix,2000
1068,Forgotten First Citizen: John Bigelow,Margaret Clapp,1948
1069,The Dred Scott Case,Don E. Fehrenbacher,1979
1070,Mistress to an Age: A Life of Madame De Stael,J. Christopher Herold,1958
1071,Fin-de-Siècle Vienna,Carl E. Schorske,1980
1072,On Human Nature,E. O. Wilson,1979
1073,The Americanization of Edward Bok,Edward Bok,1921
1074,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families, Philip Gourevitch,1998
1075,Freedom,Orlando Patterson,1991
1076,Wandering Through Winter,Edwin Way Teale,1965
1077,Medical Apartheid,Harriet A. Washington,2007
1078,Gandhi's Truth,Erik H. Erikson,1969
1079,Crusader in Crinoline,Forrest Wilson,1942
1080,Harriet Beecher Stowe: A Life,Joan D. Hedrick,1994
1081,Grover Cleveland,Allan Nevins,1934
1082,Coleridge: Early Visions,Richard Holmes,1989
1083,A Problem from Hell: America and the Age of Genocide,Samantha Power,2002
1084,The Most Famous Man in America,Debby Applegate,2007
1085,And Their Children After Them,Dale Maharidge and Michael Williamson,1989
1086,Legacy of Ashes: The History of the CIA,Tim Weiner,2007
1087,The Life of Andrew Jackson,Marquis James,1937
1088,The Radicalism of the American Revolution,Gordon S. Wood,1992
1089,Oscar Wilde,Richard Ellmann,1988
1090,Why Survive? Being Old in America,Robert Neil Butler,1975
1091,Lindbergh,A. Scott Berg,1989
1092,God: A Biography,Jack Miles,1995
1093,Stilwell and the American Experience in China,Barbara Wertheim Tuchman,1971
1094,The Wisdom Of Crowds,James Surowiecki,2004
1095,The American Revolution: A Constitutional Interpretation,Charles Howard McIlwain,1924
1096,Arc of Justice,Kevin Boyle,2004
1097,Roosevelt and Hopkins,Robert E. Sherwood,1949
1098,Benjamin Franklin,Carl Van Doren,1938
1099,The Organization and Administration of the Union Army,Fred Albert Shannon,1928
1100,"Woodrow Wilson, Life and Letters",Ray Stannard Baker,1939
1101,John Paul Jones,Samuel Eliot Morison,1959
1102,In the Days of McKinley,Margaret Leech,1960
1103,"The Transformation of Virginia, 1740-1790",Rhys L. Isaac,1983
1104,The Fiery Trial: Abraham Lincoln and American Slavery,Eric Foner,2010
1105,The Course of American Democracy,Robert V. Remini,1984
1106,The Swerve: How the World Became Modern,Stephen Greenblatt,2011
1107,Carry Me Home,Diane McWhorter,2001
1108,Young Men and Fire,Norman Maclean,1993
1109,"The Launching of Modern American Science, 1846-1876",Robert V. Bruce,1987
1110,The Americans: The Democratic Experience,Daniel J. Boorstin,1973
1111,Freedom From Fear: The American People,David M. Kennedy,1999
1112,The Raven,Marquis James,1930
1113,The People's Choice,Herbert Agar,1933
1114,Embracing Defeat: Japan in the Wake of World War II,John W. Dower,1999
