1,In Search of Lost Time ,Marcel Proust ,1913
2,Ulysses,James Joyce,1922
3,Don Quixote,Miguel de Cervantes,1605
4,Moby Dick,Herman Melville,1851
5,Hamlet,William Shakespeare,1601
6,War and Peace,Leo Tolstoy,1869
7,The Odyssey,Homer,-700
8,The Great Gatsby ,F. Scott Fitzgerald,1925
9,The Divine Comedy ,Dante Alighieri ,1472
10,Madame Bovary,Gustave Flaubert,1857
11,The Brothers Karamazov ,Fyodor Dostoyevsky,1880
12,One Hundred Years of Solitude ,Gabriel Garcia Marquez ,1967
13,The Adventures of Huckleberry Finn,Mark Twain,1884
14,The Iliad,Homer,-700
15,Lolita ,Vladimir Nabokov,1955
16,Anna Karenina,Leo Tolstoy ,1877
17,Crime and Punishment ,Fyodor Dostoyevsky,1866
18,Alice's Adventures in Wonderland ,Lewis Carroll,1865
19,The Sound and the Fury,William Faulkner,1929
20,Pride and Prejudice,Jane Austen,1813
21,The Catcher in the Rye,J. D. Salinger,1945
22,Wuthering Heights,Emily Brontë,1847
23,Nineteen Eighty Four,George Orwell,1949
24,Heart of Darkness,Joseph Conrad,1899
25,To the Lighthouse ,Virginia Woolf ,1927
26,"Absalom, Absalom!",William Faulkner,1936
27,Middlemarch,George Eliot,1871
28,The Trial,Franz Kafka,1925
29,One Thousand and One Nights,India/Iran/Iraq/Egypt,1706
30,The Stories of Anton Chekhov,Anton Chekhov,1961
31,The Red and the Black,Stendhal,1830
32,Gulliver's Travels,Jonathan Swift ,1726
33,Catch-22 ,Joseph Heller,1961
34,The Grapes of Wrath ,John Steinbeck,1939
35,Invisible Man ,Ralph Ellison,1952
36,The Stranger ,Albert Camus,1946
37,Great Expectations,Charles Dickens,1861
38,The Aeneid,Virgil,-19
39,David Copperfield,Charles Dickens,1850
40,Mrs. Dalloway ,Virginia Woolf ,1925
41,Beloved,Toni Morrison,1987
42,The Canterbury Tales,Geoffrey Chaucer,1380
43,Collected Fiction,Jorge Luis Borges,1935
44,Leaves of Grass,Walt Whitman,1855
45,Candide,Voltaire,1759
46,Jane Eyre,Charlotte Brontë,1847
47,As I Lay Dying,William Faulkner,1930
48,The Sun Also Rises ,Ernest Hemingway,1926
49,The Complete Stories of Franz Kafka,Franz Kafka,1971
50,Tristram Shandy,Laurence Sterne,1759
51,A Portrait of the Artist as a Young Man ,James Joyce,1917
52,The Portrait of a Lady ,Henry James,1881
53,Oedipus the King,Sophocles,-429
54,Les Misérables,Victor Hugo,1862
55,To Kill a Mockingbird ,Harper Lee,1960
56,Paradise Lost,John Milton,1667
57,The Complete Tales and Poems of Edgar Allan Poe,Edgar Allan Poe,1975
58,Pale Fire ,Vladimir Nabokov,1962
59,A Passage to India ,E.M. Forster,1924
60,The Idiot,Fyodor Dostoyevsky,1868
61,The Scarlet Letter,Nathaniel Hawthorne,1850
62,Antigone,Sophocles,-442
63,Faust,Johann Wolfgang von Goethe,1808
64,The Magic Mountain,Thomas Mann,1924
65,Dead Souls,Nikolai Gogol,1842
66,The Metamorphosis,Franz Kafka,1915
67,Midnight's Children ,Salman Rushdie,1981
68,Emma,Jane Austen,1815
69,For Whom the Bell Tolls,Ernest Hemingway,1940
70,Frankenstein ,Mary Shelley,1831
71,Journey to the End of The Night,Louis-Ferdinand Céline,1932
72,Oresteia,Aeschylus,-458
73,The Old Man and the Sea,Ernest Hemingway,1952
74,Vanity Fair,William Makepeace Thackeray,1847
75,The Complete Stories of Flannery O'Connor,Flannery O'Connor,1971
76,Under the Volcano ,Malcolm Lowry,1947
77,Gargantua and Pantagruel,Francois Rabelais,1532
78,Tom Jones,Henry Fielding,1749
79,Fairy Tales and Stories,Hans Christian Anderson,1843
80,Things Fall Apart ,Chinua Achebe,1958
81,The Flowers of Evil,Charles Baudelaire,1857
82,Brave New World,Aldous Huxley,1931
83,The Tin Drum,Günter Grass,1959
84,The Good Soldier,Ford Madox Ford,1915
85,A Farewell to Arms,Ernest Hemingway,1929
86,The Possessed,Fyodor Dostoevsky,1872
87,Poems of Emily Dickinson,Emily Dickinson,1955
88,On the Road,Jack Kerouac,1957
89,The Master and Margarita,Mikhail Bulgakov,1966
90,The Castle,Franz Kafka,1926
91,Father Goriot,Honoré de Balzac,1835
92,Stories of Ernest Hemingway,Ernest Hemingway,1987
93,Robinson Crusoe,Daniel Defoe,1719
94,Collected Poems of W. B. Yeats,W. B. Yeats,1933
95,The Charterhouse of Parma,Stendhal,1839
96,The Tale of Genji,Murasaki Shikibu,1000
97,Oedipus at Colonus,Sophocles,-401
98,Fathers and Sons,Ivan Turgenev,1862
99,Metamorphoses,Ovid,8
100,Decameron,Giovanni Boccaccio,1350
101,Waiting for Godot,Samuel Beckett,1953
102,The Waste Land,T. S. Eliot,1922
103,A Sentimental Education,Gustave Flaubert,1869
104,Cousin Bette,Honoré de Balzac,1846
105,Dangerous Liaison,Pierre Choderlos de Laclos,1782
106,Animal Farm,George Orwell,1946
107,Tess of the d'Urbervilles,Thomas Hardy,1891
108,Lord of the Flies ,William Golding,1954
109,King Lear,William Shakespeare,1608
110,American Pastoral,Philip Roth,1997
111,The Age of Innocence,Edith Wharton,1920
112,The Lord of the Rings,J. R. R. Tolkien ,1954
113,Treasure Island,Robert Louis Stevenson,1881
114,All the King's Men,Robert Penn Warren,1946
115,Blood Meridian,Cormac McCarthy,1986
116,Lord Jim,Joseph Conrad,1900
117,Gone With the Wind ,Margaret Mitchell,1937
118,Charlotte's Web,E. B. White,1952
119,Native Son ,Richard Wright,1940
120,Buddenbrooks,Thomas Mann,1901
121,Sons and Lovers,D. H. Lawrence,1913
122,"Rabbit, Run ",John Updike,1960
123,The Little Prince,Antoine de Saint-Exupéry,1943
124,Slaughterhouse-Five ,Kurt Vonnegut,1969
125,Their Eyes Were Watching God ,Zora Neale Hurston,1937
126,A Season in Hell,Arthur Rimbaud,1873
127,Household Tales,Brothers Grimm,1812
128,The Count of Monte Cristo,Alexandre Dumas,1844
129,My Antonia,Willa Cather,1918
130,A Doll's House,Henrik Ibsen,1879
131,The Ambassadors,Henry James,1903
132,The Moviegoer,Walker Percy,1961
133,The Tempest,William Shakespeare,1610
134,Nostromo,Joseph Conrad,1904
135,The Complete Sherlock Holmes,Arthur Conan Doyle,1887
136,Electra,Sophocles,-409
137,Medea,Euripides,-431
138,Doctor Faustus,Thomas Mann,1947
139,Collected Poems,Wallace Stevens,1955
140,The Big Sleep,Raymond Chandler,1939
141,One Flew Over the Cuckoo's Nest ,Ken Kesey,1962
142,Lost Illusions,Honoré de Balzac,1837
143,Bleak House,Charles Dickens,1852
144,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1886
145,Doctor Zhivago,Boris Pasternak,1957
146,Dubliners,James Joyce,1914
147,The Wind in the Willows,Kenneth Grahame,1908
148,First Folio,William Shakespeare,1623
148,Light in August ,William Faulkner,1932
149,Twenty Thousand Leagues Under the Sea,Jules Verne,1870
150,The Plague,Albert Camus,1947
151,The Wind-Up Bird Chronicle,Haruki Murakami,1994
152,Hunger,Knut Hamsun,1890
153,If on a Winter's Night a Traveller ,Italo Calvino,1979
154,The Leopard,Giuseppe Tomasi di Lampedusa,1958
155,The Poems of Robert Frost,Robert Frost,1969
156,Epic of Gilgamesh,Unknown,-600
157,Phèdre,Jean Racine,1677
158,An American Tragedy,Theodore Dreiser,1925
159,The Picture of Dorian Gray,Oscar Wilde,1890
160,Women in Love,D. H. Lawrence,1920
161,Prometheus Bound,Aeschylus,-415
162,The Complete Poetry and Prose of William Blake,William Blake,1827
163,Lysistrata,Aristophanes,-411
164,A Clockwork Orange,Anthony Burgess,1962
165,Rebecca,Daphne du Maurier,1938
166,The Call of the Wild,Jack London,1903
167,Orlando: A Biography,Virginia Woolf ,1923
168,Dracula,Bram Stoker,1897
169,The Color Purple,Alice Walker,1982
170,The Stories of John Cheever,John Cheever,1978
171,Little Women,Louisa May Alcott,1868
172,Steppenwolf,Hermann Hesse,1927
173,Eugenie Grandet,Honoré de Balzac,1833
174,Macbeth,William Shakespeare,1587
175,Gravity's Rainbow ,Thomas Pynchon,1973
176,A Tale of Two Cities,Charles Dickens,1859
177,"I, Claudius ",Robert Graves,1934
178,The Unbearable Lightness of Being,Milan Kundera,1984
179,The Pickwick Papers,Charles Dickens,1837
180,Tartuffe,Molière,1664
181,Seven Against Thebes, Aeschylus,-467
182,The Persians,Aeschylus,-472
183,The Suppliants,Aeschylus,-470
184,Finnegans Wake,James Joyce,1939
185,Confessions of Zeno,Italo Svevo,1923
186,De Rerum Natura,Lucretius,-55
187,Harry Potter And The Philosopher's Stone,J. K. Rowling,1997
188,Molloy,Samuel Beckett,1951
189,The Handmaid's Tale,Margaret Atwood,1985
190,Rabbit at Rest,John Updike,1990
191,The Golden Notebook,Doris Lessing,1962
192,Rabbit Is Rich,John Updike,1981
193,Through the Looking Glass,Lewis Carroll,1871
194,The Bacchae,Euripides,-405
195,U.S.A. Trilogy,John Dos Passos,1938
195,Rabbit Redux, John Updike,1971
196,The Adventures of Augie March,Saul Bellow,1953
197,Malone Dies,Samuel Beckett,1951
198,Women of Trachis,Sophocles,-410
199,Ajax,Sophocles,-450
200,Philoctetes,Sophocles,-409
201,The Princess of Cleves,Madame de La Fayette,1678
202,Henderson The Rain King,Saul Bellow,1959
203,The Misanthrope,Molière,1673
204,Nineteen Nineteen,John Dos Passos,1932
205,Collected Poems of Dylan Thomas,Dylan Thomas,1952
206,Independent People,Halldor Laxness,1946
207,Complete Poems of Giacomo Leopardi,Giacomo Leopardi,1946
208,Pilgrim's Progress ,John Bunyan,1678
209,The Man Without Qualities,Robert Musil,1930
210,Herzog ,Saul Bellow,1964
211,Nine Stories,J.D. Salinger,1953
212,Jude the Obscure,Thomas Hardy,1895
213,Lady Chatterley's Lover,D. H. Lawrence,1928
214,Pedro Paramo,Juan Rulfo,1955
215,The Maltese Falcon,Dashiell Hammett,1930
216,Howards End,E. M. Forster,1910
217,Stories of Guy de Maupassant,Guy de Maupassant,1880
218,The Good Soldier Svejk,Jaroslav Hašek,1923
219,All Quiet on the Western Front,Erich Maria Remarque,1929
220,The Three Musketeers,Alexandre Dumas,1844
221,The 42nd Parallel,John Dos Passos,1930
222,The Big Money,John Dos Passos,1936
223,The Heart Is A Lonely Hunter,Carson McCullers,1940
224,Tender Is the Night,F. Scott Fitzgerald,1934
225,The Sonnets,William Shakespeare,1609
226,Infinite Jest ,David Foster Wallace,1996
227,The Birds,Aristophanes,-414
228,Memoirs of Hadrian,Marguerite Yourcenar,1951
229,Of Mice and Men,John Steinbeck,1937
230,The Corrections,Jonathan Franzen,2001
231,Berlin Alexanderplatz,Alfred Döblin,1929
232,Austerlitz ,W. G. Sebald ,2001
233,The Red Badge of Courage,Stephen Crane,1895
234,"The Lion, The Witch and the Wardrobe ",C.S. Lewis,1950
235,Clarissa,Samuel Richardson,1748
236,The Poems of John Keats,John Keats,1821
237,The Rime of the Ancient Mariner,Samuel Taylor Coleridge,1798
238,Love in the Time of Cholera,Gabriel Garcia Marquez,1985
239,The Critique of the School for Wives,Molière,1662
240,Don Juan,Molière,1821
241,The Would-Be Gentleman,Molière,1670
242,The Would-Be Invalid,Molière,1673
243,The School for Wives,Molière,1662
244,The Miser,Molière,1668
245,The Adventures of Oliver Twist,Charles Dickens,1837
246,Song of Solomon,Toni Morrison,1977
247,The Unnamable,Samuel Beckett,1953
248,The Book of Disquiet,Fernando Pessoa,1982
249,Winnie the Pooh,A. A. Milne,1926
250,Le Morte d'Arthur,Thomas Malory,1485
251,A Confederacy of Dunces,John Kennedy Toole,1980
252,Our Mutual Friend,Charles Dickens,1865
253,The Duino Elegies,Rainer Maria Rilke,1923
254,Nausea,Jean-Paul Sartre,1938
255,The Waves,Virginia Woolf,1931
256,Hedda Gabler,Henrik Ibsen,1891
257,The Prime of Miss Jean Brodie ,Muriel Spark,1961
258,The Amazing Adventures of Kavalier and Clay,Michael Chabon,2000
259,Bérénice,Jean Racine,1670
260,The Long Goodbye: A Novel,Raymond Chandler,
261,"Look Homeward, Angel",Thomas Wolfe,1929
262,Lucky Jim ,Kingsley Amis,1954
263,Death in Venice,Thomas Mann,1912
264,The Counterfeiters,André Gide,1925
265,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979
266,Selected Stories of Alice Munro,Alice Munro,1996
267,The Clouds,Aristophanes,-423
268,A Handful of Dust ,Evelyn Waugh,1934
269,Beowulf,Unknown,900
270,Dune,Frank Herbert,1965
271,A Prayer for Owen Meany ,John Irving ,1989
272,Atonement,Ian McEwan,2002
273,The Fountainhead,Ayn Rand,1943
274,Kim,Rudyard Kipling,1901
275,Songs of Innocence and Experience,William Blake,1789
276,The Man Who Loved Children ,Christina Stead,1940
277,Poems of W. H. Auden,W. H. Auden,1930
278,A Midsummer Night's Dream ,William Shakespeare,1596
279,The Prelude,William Wordsworth,1850
280,The Confusions of Young Törless,Robert Musil,1906
281,The Mayor of Casterbridge,Thomas Hardy,1886
282,The Stand,Stephen King,1978
283,"Winesburg, Ohio",Sherwood Anderson,1919
284,Cloud Atlas,David Mitchell,2004
285,Los Siete Locos,Roberto Arlt,1929
286,Uncle Tom's Cabin,Harriet Beecher Stowe,1852
287,Bonfire of the Vanities,Tom Wolfe,1987
288,The Poems of Francois Villon,François Villon,1463
289,Collected Poems of T.S. Eliot,T.S. Eliot,1936
290,A Room With a View,E.M. Forster,1908
291,A Bend in the River,V. S. Naipaul,1979
292,"If I Forget Thee, Jerusalem",William Faulkner,1939
293,2666,Roberto Bolano,2004
294,Poems of Federico García Lorca,Federico García Lorca,1941
295,A Wrinkle In Time,Madeleine L'Engle,1962
296,The House of the Spirits,Isabel Allende,1982
297,Jakob Von Gunten,Robert Walser,1909
298,The Hound of the Baskervilles,Sir Arthur Conan Doyle,1901
299,The Odes,Horace,-23
300,Trojan Women,Euripides,-415
301,Brideshead Revisited,Evelyn Waugh,1945
302,Dream of the Red Chamber,Cao Xueqin,1791
303,In Our Time,Ernest Hemingway,1925
304,Money ,Martin Amis,1984
305,The Breakfast of Champions,Kurt Vonnegut,1973
306,A Tree Grows in Brooklyn,Betty Smith,1943
307,Fahrenheit 451,Ray Bradbury,1953
308,The Brief Wondrous Life of Oscar Wao,Junot Diaz,2007
309,Tropic of Cancer ,Henry Miller,1934
310,The House of Mirth,Edith Wharton,1905
311,The Woman in White,Wilkie Collins,1859
312,Oblomov,Ivan Goncharov,1859
313,The Sleepwalkers,Hermann Broch,1931
314,The Custom of the Country,Edith Wharton,1913
