id,title,author,year
1,In Search of Lost Time ,Marcel Proust ,1913
2,Ulysses,James Joyce,1922
3,Don Quixote,Miguel de Cervantes,1605
4,Moby Dick,Herman Melville,1851
5,Hamlet,William Shakespeare,1601
6,War and Peace,Leo Tolstoy,1869
7,The Odyssey,Homer,-700
8,The Great Gatsby ,F. Scott Fitzgerald,1925
9,The Divine Comedy ,Dante Alighieri ,1472
10,Madame Bovary,Gustave Flaubert,1857
11,The Brothers Karamazov ,Fyodor Dostoyevsky,1880
12,One Hundred Years of Solitude ,Gabriel Garcia Marquez ,1967
13,The Adventures of Huckleberry Finn,Mark Twain,1884
14,The Iliad,Homer,-700
15,Lolita ,Vladimir Nabokov,1955
16,Anna Karenina,Leo Tolstoy ,1877
17,Crime and Punishment ,Fyodor Dostoyevsky,1866
18,Alice's Adventures in Wonderland ,Lewis Carroll,1865
19,The Sound and the Fury,William Faulkner,1929
20,Pride and Prejudice,Jane Austen,1813
