id,title,author,year
1,Essays,Michel de Montaigne,1580
2,Confessions ,Augustine,398
3,The Interpretation of Dreams,Sigmund Freud,1899
4,The Prince,Niccolo Machiavelli,1532
5,On the Origin of Species,Charles Darwin,1859
6,Walden,Henry David Thoreau,1854
7,Pensées,Blaise Pascal,1670
8,The Republic,Plato,-380
9,The Complete Works of Plato,Plato,-347
10,The Diary of a Young Girl,Anne Frank,1944
11,Communist Manifesto,Karl Marx and Friedrich Engels,1848
12,The Confessions of Jean-Jacques Rousseau,Jean-Jacques Rousseau,1782
13,The Histories of Herodotus,Herodotus,-420
14,Silent Spring,Rachel Carson,1962
15,Das Kapital,Karl Marx,1867
16,Thus Spake Zarathustra,Friedrich Nietzsche,1883
17,Democracy in America,Alexis de Tocqueville,1840
18,The Elements of Style,"William Strunk, Jr and E. B. White",1918
19,Relativity,Albert Einstein,1917
20,Homage to Catalonia,George Orwell,1938
21,"Speak, Memory",Vladimir Nabokov,1940
22,The Autobiography of Malcolm X,Alex Haley,1965
23,"The General Theory of Employment, Interest and Money",John Maynard Keynes,1936
24,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,
25,The Second Sex,Simone de Beauvoir,1949
26,Leviathan,Thomas Hobbes,1651
27,The History of the Peloponnesian War,Thucydides,-450
28,Meditations,Marcus Aurelius,167
29,The Structure of Scientific Revolutions,Thomas Kuhn,1962
30,Tao Te Ching,Lao Tsu,-300
31,A Room of One's Own,Virginia Woolf,1929
32,Principia Mathematica,Issac Newton,1687
33,The Double Helix: A Personal Account of the Discovery of the Structure of DNA,James D. Watson,1968
34,Annals,Cornelius Tacitus,120
35,The Wealth of Nations,Adam Smith,1776
36,Summa Theologica,Thomas Aquinas,1274
37,Analects,Confucius,-350
38,The Life of Samuel Johnson,James Boswell,1823
39,The Essential Writings of Ralph Waldo Emerson,Ralph Waldo Emerson,1882
40,Parallel Lives,Plutarch,120
41,The Decline and Fall of the Roman Empire,Edward Gibbon,1776
42,In Cold Blood,Truman Capote,1966
43,The Education of Henry Adams,Henry Adams,1918
44,The Art of War,Sun Zi,-200
45,Dialogue Concerning the Two Chief World Systems,Galileo,1632
46,The Civil War,Shelby Foote,1974
47,The Second World War,Winston Churchill,1953
48,If This Is a Man,Primo Levi,1947
49,Ethics,Baruch de Spinoza,1676
50,The Principles of Psychology,William James,1890
51,On Liberty,John Stuart Mill,1859
52,Collected Essays of George Orwell,George Orwell,1961
53,Discourse on Method,Rene Descartes,1637
54,Pragmatism,William James,1907
55,Civilization and Its Discontents,Sigmund Freud,1929
56,Memoirs From Beyond the Grave,François René De Chateaubriand,1849
57,The Abolition of Man,C. S. Lewis,1943
58,Corpus Aristotelicum,Aristotle,-400
59,Selected Essays of T. S. Eliot,T. S. Eliot,1932
60,The Gulag Archipelago,Aleksandr Solzhenitsyn,1973
61,The Liberal Imagination,Lionel Trilling,1950
62,Orthodoxy,G. K. Chesterton,1908
63,Civil Disobedience,Henry David Thoreau,1849
64,Moveable Feast,Ernest Hemingway,1964
65,R. E. Lee,Douglas Southall Freeman,1934
66,Oxford English Dictionary,Oxford University Press,1884
67,Black Lamb and Grey Falcon,Rebecca West,1941
68,Encyclopedia Britannica,Encyclopedia Britannica,1771
69,The Constitution of Liberty,Friedrich A. Hayek,1960
70,Capitalism and Freedom,Milton Friedman,1962
71,Philosophical Investigations,Ludwig Wittgenstein,1953
72,The Right Stuff,Tom Wolfe,1979
73,Modern Times,Paul Johnson,1983
74,Witness,Whittaker Chambers,1952
75,"Capitalism, Socialism, and Democracy",Joseph Schumpeter,1942
76,Mere Christianity,C. S. Lewis,1942
77,Beyond Good and Evil,Friedrich Nietzsche,1886
78,A Vindication of the Rights of Woman,Mary Wollstonecraft,1798
79,The Origins of Totalitarianism,Hannah Arendt,1951
80,Quotations from Chairman Mao,Mao,1964
81,The Road to Serfdom,Friedrich von Hayek,1944
82,The Seven Storey Mountain,Thomas Merton,1948
83,Let Us Now Praise Famous Men,James Agee,1941
84,The Golden Bough,James George Frazer,1890
85,A Study of History,Arnold J. Toynbee,1961
86,The George Sand-Gustave Flaubert Letters,Gustave Flaubert,1921
87,History of My Life,Giacomo Casanova,1822
88,Institutes of the Christian Religion,John Calvin,1536
89,Common Sense,Thomas Paine,1775
90,The Praise of Folly,Erasmus,1509
91,The Quest for Community,Robert Nisbet,1953
92,Black Boy,Richard Wright,1945
93,The Open Society,Karl Popper,1945
94,Apology,Plato,-399
95,On the Genealogy of Morality,Friedrich Nietzsche,1887
96,Memoirs of Cardinal De Retz ,Cardinal de Retz,1717
97,Out of Africa,Isak Dinesen,1937
98,The Seven Pillars of Wisdom,T.E. Lawrence,1926
99,The Myth of Sisyphus,Albert Camus,1942
100,I Know Why the Caged Bird Sings,Maya Angelou,1969
101,The Memoirs of the Duke of Saint-Simon on the Reign of Louis XIV. and the Regency,Louis de Rouvroy Saint-Simon (duc de),1755
102,A Brief History of Time,Stephen Hawking,
103,The Electric Kool-Aid Acid Test,Tom Wolfe,1968
104,On the Revolutions of the Heavenly Spheres,Nicolaus Copernicus,1543
105,Hippocratic Corpus,Hippocrates,-300
106,The Death and Life of Great American Cities,Jane Jacobs,1961
107,Autobiographies,W. B. Yeats,1926
108,Histories,Cornelius Tacitus,110
109,The Waning of the Middle Ages,Johan Huizinga,1919
110,Three Essays on the Theory of Sexuality,Sigmund Freud,1905
111,An Enquiry Concerning Human Understanding,David Hume,1748
112,I Ching,China,-1400
113,"Roll, Jordan, Roll",Eugene Genovese,1972
114,The Conservative Mind,Russell Kirk,1953
115,Words,Jean Paul Sartre,1963
116,The Varieties of Religious Experience,William James,1902
117,Up from Slavery,Booker T. Washington,1901
118, The Feynman Lectures on Physics,Richard P. Feynman,1995
119,Slouching Towards Bethlehem,Joan Didion,1968
120,A Dictionary of the English Language,Samuel Johnson,1755
121,An Essay Concerning Human Understanding,John Locke,1690
122,Aspects of the Novel,E. M. Forster,1927
123,The Autobiography of Alice B. Toklas,Gertrude Stein,1933
124,An American Dilemma,Gunnar Myrdal,1944
125,Mythology,Edith Hamilton,1942
126,The Frontier in American History,Frederick Jackson Turner,1920
127,Life on the Mississippi,Mark Twain,1883
128,The Federalist Papers,"Alexander Hamilton, James Madison, John Jay",1788
129,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,1974
130,The Revolt of the Masses,José Ortega y Gasset,1929
131,The Making of the Atomic Bomb,Richard Rhodes,1988
132,Letters to a Young Poet,Rainer Maria Rilke,1934
133,Enneads,Plotinus,250
134,The Harmony of the Worlds,Johannes Kepler,1619
135,Critique of Pure Reason,Immanuel Kant,1781
136,Euclid's Elements,Euclid,-280
137,Rationalism in Politics,Michael Oakeshott,1962
138,Poetics,Aristotle,-335
139,Tristes Tropiques,Claude Levi-Strauss,1955
140,Dispatches,Michael Herr,1977
141,A Supposedly Fun Thing I'll Never Do Again,David Foster Wallace,1997
142,Two Treatises of Government,John Locke,1689
143,Either Or,Soren Kierkegaard,1843
